expiration,strike,type_call,last_call,mark_call,bid_call,bid_size_call,ask_call,ask_size_call,volume_call,open_interest_call,date_call,implied_volatility_call,delta_call,gamma_call,theta_call,vega_call,rho_call,week_call,type_put,last_put,mark_put,bid_put,bid_size_put,ask_put,ask_size_put,volume_put,open_interest_put,date_put,implied_volatility_put,delta_put,gamma_put,theta_put,vega_put,rho_put,week_put,open_interest_diff,z_score
2020-02-14,327.0,call,10.6,10.73,10.64,249,10.81,5,154,1996,2020-02-14,0.36007,0.95585,0.01467,-0.31047,0.0165,0.00855,2020-02-08/2020-02-14,put,0.01,0.01,0.0,0,0.01,5363,7,25856,2020-02-14,0.24879,-0.00695,0.00441,-0.04249,0.00342,-6e-05,2020-02-08/2020-02-14,-2.0197865392587766,-2.0186849375737452
2020-02-14,330.0,call,7.58,7.71,7.62,5,7.8,5,1243,3894,2020-02-14,0.26434,0.95111,0.02169,-0.25018,0.0179,0.00859,2020-02-08/2020-02-14,put,0.01,0.01,0.0,0,0.01,5340,57,32525,2020-02-14,0.18492,-0.0091,0.00751,-0.03995,0.00434,-8e-05,2020-02-08/2020-02-14,-2.3972338214286486,-2.3959263581072676
2020-02-14,333.0,call,4.6,4.69,4.62,5,4.76,5,1405,7458,2020-02-14,0.16861,0.94107,0.03942,-0.18852,0.02075,0.00858,2020-02-08/2020-02-14,put,0.01,0.01,0.0,0,0.01,5318,11097,42329,2020-02-14,0.11907,-0.0135,0.01644,-0.0362,0.00611,-0.00013,2020-02-08/2020-02-14,-2.89089784170532,-2.8893211315571055
2020-02-14,334.0,call,3.58,3.69,3.62,5,3.76,5,4944,13475,2020-02-14,0.13919,0.93071,0.05416,-0.17727,0.02354,0.00851,2020-02-08/2020-02-14,put,0.01,0.01,0.0,0,0.01,5410,15847,71446,2020-02-14,0.09635,-0.01631,0.0239,-0.0344,0.00719,-0.00015,2020-02-08/2020-02-14,-4.718404070614153,-4.715830629424296
2020-02-18,334.0,call,3.85,3.91,3.86,5,3.96,5,966,2706,2020-02-14,0.09773,0.85768,0.06517,-0.10953,0.07954,0.0313,2020-02-08/2020-02-14,put,0.21,0.21,0.2,1,0.21,4302,13401,20893,2020-02-14,0.09224,-0.1286,0.06441,-0.08367,0.0742,-0.00478,2020-02-08/2020-02-14,-1.5709794900553218,-1.5701226699806472
2020-02-19,339.0,call,0.66,0.67,0.66,5,0.67,60,36221,30709,2020-02-14,0.0773,0.33397,0.11913,-0.11599,0.14378,0.01535,2020-02-08/2020-02-14,put,2.01,1.96,1.95,220,1.98,91,1413,1030,2020-02-14,0.07471,-0.67153,0.12245,-0.09681,0.14283,-0.03132,2020-02-08/2020-02-14,2.2158349321503144,2.2146264046908217
2020-02-21,325.0,call,12.82,12.95,12.86,5,13.04,5,248,29920,2020-02-14,0.18507,0.93431,0.01477,-0.0921,0.05976,0.05801,2020-02-08/2020-02-14,put,0.14,0.12,0.12,8627,0.13,3150,10874,95913,2020-02-14,0.15885,-0.03973,0.01154,-0.04488,0.04007,-0.0026,2020-02-08/2020-02-14,-5.35304714283522,-5.350127564138175
2020-02-21,326.0,call,11.8,11.97,11.88,250,12.06,5,92,24747,2020-02-14,0.17669,0.92697,0.01679,-0.09487,0.06485,0.05772,2020-02-08/2020-02-14,put,0.15,0.15,0.15,340,0.16,8027,20970,58572,2020-02-14,0.15519,-0.0493,0.01406,-0.05213,0.04768,-0.00322,2020-02-08/2020-02-14,-2.808145828049968,-2.806614251264072
2020-02-21,327.0,call,10.56,11.0,10.91,200,11.09,5,888,20146,2020-02-14,0.16907,0.91731,0.01928,-0.09899,0.07126,0.05728,2020-02-08/2020-02-14,put,0.18,0.17,0.17,8511,0.18,1982,6732,43815,2020-02-14,0.14818,-0.0571,0.01654,-0.05586,0.05357,-0.00373,2020-02-08/2020-02-14,-2.00467598992018,-2.0035826296043675
2020-02-21,335.0,call,3.64,3.69,3.67,5,3.7,211,6000,56008,2020-02-14,0.11114,0.70184,0.06673,-0.13878,0.1621,0.04473,2020-02-08/2020-02-14,put,0.92,0.93,0.92,200,0.93,1458,42580,34804,2020-02-14,0.10748,-0.29212,0.06835,-0.11897,0.16058,-0.01909,2020-02-08/2020-02-14,1.5453537507649309,1.5445109070966903
